,Mean,StdDev,5%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std[21,1]",0.024653,0.0271121,-0.0200538,0.0698646,14792.4,4985.28,1.00092
"beta_language_std[21,2]",0.0471121,0.0265823,0.0032532,0.0905829,13781.7,4870.83,1.00109
"beta_language_std[21,3]",0.115959,0.028065,0.0699604,0.16196,16182.4,5613.41,1.00069
"beta_language_std[21,4]",-0.0414535,0.0274774,-0.0866735,0.00358384,14107.8,6057.73,1.00024
"beta_language_std[21,5]",0.0910706,0.0265913,0.047106,0.135639,15001.0,5391.78,1.00039
"beta_language_std[21,6]",-0.152622,0.0384754,-0.215957,-0.0901299,15360.8,6061.44,1.00024
"beta_language_std[21,7]",0.0336502,0.0266252,-0.0104666,0.0774977,15518.8,6034.39,1.00035
"beta_language_std[21,8]",-0.0547492,0.0279496,-0.10054,-0.00821616,13309.9,4050.99,1.00025
"beta_language_std[21,9]",0.0670955,0.0275753,0.0216185,0.112849,14820.8,5951.77,1.00076
"beta_language_std[21,10]",-0.00936143,0.0270452,-0.0535956,0.0346451,14741.4,6169.92,1.00032
"beta_language_std[21,11]",0.0225492,0.0228662,-0.0147331,0.0606613,12799.5,5490.75,1.00023
"beta_language_std[21,12]",-0.143904,0.062672,-0.249602,-0.0431115,2117.34,1679.26,1.00476
"beta_language_std[22,1]",-0.0169792,0.0261202,-0.0600573,0.0252153,13992.3,5605.95,1.00035
"beta_language_std[22,2]",0.0793644,0.0265716,0.0354635,0.123328,14060.1,5588.99,1.00008
"beta_language_std[22,3]",0.0799981,0.0279819,0.0336268,0.125525,16256.1,5272.1,1.00109
"beta_language_std[22,4]",-0.0458996,0.0275666,-0.0909401,-0.0011985,14003.9,5544.18,1.00048
"beta_language_std[22,5]",0.0978471,0.0269083,0.0536639,0.141983,14983.6,5973.83,1.00059
"beta_language_std[22,6]",-0.104621,0.0392203,-0.168855,-0.0410265,14299.8,5664.02,1.00131
"beta_language_std[22,7]",0.0235585,0.0270536,-0.0208999,0.0686339,11005.2,4471.84,1.00165
"beta_language_std[22,8]",-0.0426573,0.0277815,-0.088184,0.00336851,14144.7,5009.17,1.00002
"beta_language_std[22,9]",0.0759596,0.0283429,0.029782,0.122582,16511.7,5520.76,1.00055
"beta_language_std[22,10]",-0.0480547,0.0259527,-0.0900225,-0.00561388,14098.3,6117.49,1.00178
"beta_language_std[22,11]",0.0462816,0.022386,0.00971836,0.0831848,13615.6,5746.03,1.00007
"beta_language_std[22,12]",-0.144798,0.062773,-0.2501,-0.0454368,1979.8,1971.71,1.00537
"beta_language_std[23,1]",0.157055,0.0282137,0.110563,0.204,14962.0,6011.52,1.0008
"beta_language_std[23,2]",0.055739,0.027761,0.0109376,0.101216,13548.4,5428.26,1.00017
"beta_language_std[23,3]",0.385569,0.0307209,0.335552,0.43669,14573.2,5533.89,1.00045
"beta_language_std[23,4]",-0.0696609,0.0286506,-0.1161,-0.022632,14780.5,5530.28,1.00007
"beta_language_std[23,5]",0.145181,0.0282096,0.098916,0.191355,16017.6,5647.15,1.00027
"beta_language_std[23,6]",-0.276913,0.0383865,-0.339867,-0.213282,16004.2,5967.99,1.00013
"beta_language_std[23,7]",0.0508824,0.0280613,0.00464732,0.0975842,15732.9,5675.46,1.00039
"beta_language_std[23,8]",0.0623339,0.0294393,0.0142422,0.110792,15917.6,5594.69,1.00086
