,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
alpha_std[86],0.598933,0.000188609,0.0150546,0.0151729,0.574372,0.599086,0.623384,6638.11,5644.38,1.0005
alpha_std[87],-0.0633195,0.000241349,0.0184681,0.0186275,-0.0937668,-0.0633232,-0.0331049,5923.82,6263.83,1.00071
alpha_std[88],-0.251781,0.000217086,0.0184137,0.018296,-0.281989,-0.251868,-0.221768,7217.64,6212.58,1.0001
alpha_std[89],0.306649,0.00017358,0.0146281,0.0146103,0.282273,0.306611,0.330855,7181.65,5842.07,1.00032
alpha_std[90],0.430611,0.000176556,0.014928,0.014631,0.405814,0.430551,0.455672,7223.06,6367.44,1.00085
alpha_std[91],0.0670251,0.00018577,0.0147445,0.0143074,0.0432019,0.0668178,0.0917691,6435.49,5118.58,1.00135
alpha_std[92],0.131191,0.000187493,0.0144248,0.0145473,0.107854,0.131095,0.155222,6033.51,5306.74,1.00015
alpha_std[93],0.535309,0.000192257,0.0150263,0.0149209,0.511118,0.535216,0.56002,6276.77,6056.88,1.00036
alpha_std[94],0.681395,0.000195306,0.0149887,0.0149112,0.656874,0.681347,0.705944,6050.48,6495.41,1.00073
alpha_std[95],0.139308,0.000228769,0.0157844,0.0158045,0.11357,0.13917,0.165408,4745.65,4604.51,1.00089
alpha_std[96],0.719694,0.000182211,0.0150612,0.0151403,0.694956,0.719526,0.74424,6949.07,5572.49,1.00096
alpha_std[97],-0.107604,0.000175324,0.014994,0.0149311,-0.132602,-0.107567,-0.0829815,7414.5,5367.67,1.00002
alpha_std[98],-0.0909991,0.000178436,0.0151797,0.0153706,-0.11559,-0.0910719,-0.0657792,7271.7,5184.55,1.00075
alpha_std[99],0.449534,0.000181425,0.0149785,0.0147749,0.424472,0.449596,0.473988,6776.35,5975.51,1.00065
alpha_std[100],0.465011,0.000183674,0.0150742,0.0151477,0.440559,0.464958,0.490042,6791.77,6021.37,1.00033
"beta_language_std[1,1]",0.100689,0.000224047,0.0286282,0.0278675,0.0529832,0.100509,0.148404,16617.8,5699.03,1.0012
"beta_language_std[1,2]",0.252318,0.000235901,0.0303509,0.0300078,0.202081,0.252255,0.302525,16731.0,5692.24,1.00025
"beta_language_std[1,3]",0.347578,0.000275264,0.0320111,0.0313466,0.294746,0.347498,0.400285,13729.0,4565.29,1.00038
"beta_language_std[1,4]",-0.0800922,0.000240959,0.0293399,0.0293434,-0.12782,-0.0798731,-0.0315357,15003.5,5603.28,1.00042
"beta_language_std[1,5]",0.194487,0.000245782,0.0291202,0.0294993,0.146635,0.194817,0.242104,14740.8,5481.6,1.00149
"beta_language_std[1,6]",-0.393829,0.000328533,0.0409698,0.0407248,-0.460911,-0.39417,-0.326682,15766.8,5460.08,1.00188
"beta_language_std[1,7]",0.0613027,0.000246892,0.0289332,0.0285214,0.0140381,0.061067,0.109576,13905.8,5853.0,1.00057
