,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
y_pred[6129],0.0584833,0.00177477,0.15626,5.47758e-05,6.82581e-19,3.69458e-05,0.409784,7895.6,7561.12,0.999971
y_pred[6130],0.0703882,0.00216933,0.193503,5.85208e-06,6.26787e-26,3.94718e-06,0.57786,7918.23,7822.17,1.00028
y_pred[6131],0.123721,0.00270053,0.238166,0.00390816,4.26273e-13,0.00263602,0.736666,7688.75,7611.24,1.00034
y_pred[6132],0.0425212,0.000611549,0.0544062,0.0290062,0.000284717,0.0219802,0.153203,7782.39,7568.68,1.00017
y_pred[6133],0.539388,0.00334057,0.286336,0.365506,0.0727398,0.55167,0.967243,7347.13,7688.28,1.00004
y_pred[6134],0.570693,0.0045377,0.393669,0.488387,0.00137037,0.668167,0.999976,7551.6,7571.2,1.00012
y_pred[6135],0.471576,0.00461102,0.397933,0.614736,0.000100191,0.434621,0.999568,7599.19,7645.56,1.0005
y_pred[6136],0.58773,0.00373671,0.330024,0.431845,0.0358475,0.644568,0.996287,7840.69,7747.41,1.0005
y_pred[6137],0.635821,0.00403976,0.363786,0.327701,0.0123969,0.777454,0.999949,8076.51,7465.17,1.00016
y_pred[6138],0.75916,0.00356326,0.314302,0.101372,0.069963,0.931615,0.999999,7990.77,7917.18,0.99996
y_pred[6139],0.511996,0.00175258,0.136496,0.140018,0.284467,0.512459,0.735005,6279.75,6977.14,1.00046
y_pred[6140],0.443243,0.00315605,0.287364,0.368474,0.0274374,0.422776,0.924713,8185.74,7567.94,1.00008
y_pred[6141],0.48366,0.00443793,0.396623,0.630496,0.000137998,0.45661,0.999491,8138.94,8141.26,1.00028
y_pred[6142],0.355809,0.00429385,0.384088,0.242976,1.66844e-06,0.16391,0.99694,7902.44,7730.81,1.00002
y_pred[6143],0.491439,0.00369592,0.334114,0.474813,0.0130723,0.484231,0.984903,8324.24,7859.18,0.99979
y_pred[6144],0.528015,0.00421685,0.375166,0.570648,0.0025245,0.558025,0.999193,7944.66,7973.41,0.999956
y_pred[6145],0.677126,0.00380078,0.342024,0.257118,0.0359564,0.825248,0.999953,8107.6,7755.35,1.00003
y_pred[6146],0.407168,0.00153668,0.134017,0.138851,0.19319,0.40132,0.636822,7611.99,7374.2,1.00004
y_pred[6147],0.260048,0.00286332,0.253942,0.224009,0.00166397,0.174727,0.794801,7995.45,7595.93,0.999976
y_pred[6148],0.290353,0.00414728,0.36046,0.110846,8.77573e-08,0.0747648,0.988998,7649.89,7403.91,0.999826
y_pred[6149],0.195981,0.00351722,0.315405,0.0124695,1.0211e-11,0.00841057,0.951774,7890.82,7368.99,0.999726
y_pred[6150],0.298994,0.00362195,0.307926,0.258069,0.000285769,0.17945,0.912784,7261.28,7442.97,1.00042
y_pred[6151],0.33398,0.00423301,0.351813,0.270354,2.31336e-05,0.182976,0.98122,7641.31,7746.0,1.00045
y_pred[6152],0.489135,0.00416634,0.365103,0.553635,0.00275548,0.472564,0.99612,7931.99,7643.03,0.999912
y_pred[6153],0.237996,0.00128191,0.11661,0.119965,0.0732803,0.223523,0.449656,8209.05,8188.58,0.999745
y_pred[6154],0.523054,0.00322984,0.287869,0.36341,0.0566926,0.529656,0.960261,8019.68,7942.56,0.999788
y_pred[6155],0.555019,0.00440592,0.396147,0.530091,0.000814253,0.637984,0.999947,8076.58,7936.58,0.999981
y_pred[6156],0.422581,0.00442716,0.395594,0.44772,2.8255e-05,0.303113,0.999121,8036.7,7925.87,1.00008
y_pred[6157],0.563292,0.0037536,0.332851,0.457375,0.0260515,0.601206,0.99519,7651.89,7362.22,1.00014
y_pred[6158],0.609704,0.00410201,0.367551,0.399292,0.00817029,0.725402,0.999867,8098.6,8139.58,1.00021
y_pred[6159],0.74754,0.00351748,0.315479,0.124876,0.0746429,0.915739,0.999997,8239.71,7590.31,1.00016
y_pred[6160],0.486349,0.00155974,0.136792,0.143382,0.262108,0.486722,0.713001,7726.91,7804.2,0.999894
y_pred[6161],0.720114,0.00294799,0.260485,0.255382,0.197452,0.800142,0.997168,7897.6,7572.81,0.999777
y_pred[6162],0.746459,0.00394252,0.344435,0.0595197,0.0210514,0.959855,1.0,7684.51,7774.81,0.999942
y_pred[6163],0.645096,0.00434302,0.383722,0.242141,0.00368067,0.836655,0.999999,7786.82,7973.29,0.999876
y_pred[6164],0.751994,0.00327937,0.293065,0.156885,0.120579,0.893558,0.999967,7984.28,7895.73,1.00031
y_pred[6165],0.788524,0.00344451,0.30635,0.0501497,0.0758727,0.966174,1.0,8044.66,7634.63,1.0004
y_pred[6166],0.873176,0.00270864,0.24347,0.00378804,0.24111,0.997445,1.0,7781.74,7299.47,1.00036
y_pred[6167],0.693763,0.00137271,0.126086,0.127768,0.469183,0.703872,0.885151,8425.79,7807.62,1.00033
y_pred[6168],0.310523,0.00299243,0.268619,0.285533,0.00529544,0.240923,0.838835,8016.7,7535.87,1.00021
y_pred[6169],0.327795,0.00423521,0.372599,0.194496,1.02001e-06,0.131204,0.993787,7369.66,7363.27,1.00009
y_pred[6170],0.238532,0.00382606,0.339942,0.0407991,1.53426e-09,0.0275186,0.977409,8074.29,7971.1,1.00062
y_pred[6171],0.353521,0.0036317,0.323072,0.358116,0.000984773,0.262103,0.949713,8055.01,8140.57,1.0
y_pred[6172],0.387224,0.00408578,0.36413,0.395902,0.000101472,0.273246,0.989138,7956.02,7576.41,1.00003
y_pred[6173],0.532963,0.00412112,0.362961,0.535987,0.00471155,0.558418,0.998276,7581.89,7851.67,1.00047
y_pred[6174],0.279929,0.00135397,0.122702,0.127325,0.098831,0.268105,0.50023,8386.92,7794.61,1.00007
y_pred[6175],0.507263,0.00316656,0.289421,0.369723,0.0494189,0.503661,0.954527,8364.29,7929.41,0.999949
y_pred[6176],0.543156,0.00445441,0.39677,0.556686,0.00057145,0.616116,0.999906,7714.64,7684.26,1.00014
y_pred[6177],0.416585,0.00440664,0.39678,0.42407,1.4064e-05,0.286701,0.998905,8138.72,7929.79,0.999888
y_pred[6178],0.553452,0.00372204,0.333416,0.457898,0.0238522,0.589364,0.993302,8031.25,7647.05,1.0
y_pred[6179],0.588795,0.00408804,0.370477,0.452266,0.00641712,0.685045,0.999751,8260.05,7781.83,0.999869
y_pred[6180],0.727994,0.00385997,0.325989,0.153758,0.0525942,0.896199,0.999996,7040.74,7259.43,1.00053
y_pred[6181],0.467019,0.00149144,0.137137,0.145183,0.245011,0.464502,0.694418,8446.78,8187.96,1.00067
y_pred[6182],0.788472,0.00260471,0.234724,0.165584,0.28887,0.882203,0.999628,8136.31,7892.98,1.0009
y_pred[6183],0.81865,0.00349872,0.303304,0.0100439,0.0602494,0.993226,1.0,7655.03,7809.02,1.00017
y_pred[6184],0.727734,0.00405748,0.356443,0.0778343,0.0136154,0.947501,1.0,7839.56,7938.81,0.99998
y_pred[6185],0.826231,0.00273631,0.250801,0.0581201,0.240338,0.960792,0.999999,8119.77,7603.49,0.999682
y_pred[6186],0.841753,0.00312632,0.273803,0.0101855,0.133798,0.99313,1.0,7717.56,7999.59,1.00005
y_pred[6187],0.91062,0.00230957,0.208027,0.000363237,0.364414,0.999755,1.0,8251.03,8143.34,1.00017
y_pred[6188],0.771868,0.00126709,0.114772,0.117098,0.561558,0.787635,0.933355,8162.0,7660.15,0.999907
y_pred[6189],0.895168,0.00200658,0.176265,0.0253606,0.475741,0.982889,1.0,7403.7,7239.53,1.00032
y_pred[6190],0.905689,0.00258284,0.232059,1.77912e-05,0.240586,0.999988,1.0,8308.66,7789.05,0.999663
y_pred[6191],0.85789,0.0030987,0.279601,0.0010482,0.100218,0.999293,1.0,7925.03,7953.29,0.999782
y_pred[6192],0.909259,0.00210863,0.191126,0.00234028,0.429988,0.998422,1.0,8370.41,8144.52,1.0004
y_pred[6193],0.923142,0.00222238,0.197967,1.77912e-05,0.402435,0.999988,1.0,7949.14,7673.36,1.00072
y_pred[6194],0.957605,0.00165395,0.146476,0.0,0.69732,1.0,1.0,7976.55,7945.02,1.00026
y_pred[6195],0.879503,0.00100078,0.0888359,0.0804125,0.70791,0.900386,0.98477,7984.11,7972.43,1.00002
y_pred[6196],0.710423,0.00294444,0.260984,0.262601,0.186519,0.782111,0.995962,7916.98,7693.39,1.00068
y_pred[6197],0.742251,0.00392538,0.345036,0.0645961,0.0187959,0.95643,1.0,8098.16,8148.42,1.00004
y_pred[6198],0.63788,0.00426403,0.382721,0.275569,0.00323248,0.814075,0.999998,8108.99,7900.01,0.999967
y_pred[6199],0.745224,0.00332516,0.291311,0.184293,0.124634,0.874439,0.999946,7472.28,7685.18,0.999841
y_pred[6200],0.771705,0.00347393,0.313371,0.069866,0.072058,0.952876,1.0,7971.13,7580.3,0.999877
y_pred[6201],0.86892,0.00276549,0.245418,0.00606754,0.216899,0.995907,1.0,7937.91,7820.2,0.999753
y_pred[6202],0.68141,0.0014148,0.126291,0.132761,0.458797,0.691777,0.871594,8050.51,8181.64,1.00032
y_pred[6203],0.574602,0.00315989,0.286656,0.360518,0.0844484,0.604817,0.97463,8247.86,8040.97,1.00001
y_pred[6204],0.607812,0.00428312,0.387516,0.358656,0.00245353,0.757627,0.999985,8289.74,7880.87,1.00028
y_pred[6205],0.488625,0.0044344,0.400774,0.651183,0.0001618,0.479652,0.999744,8109.09,7519.74,1.00016
y_pred[6206],0.624973,0.00370129,0.3253,0.384194,0.0457186,0.705464,0.998212,7769.72,7958.04,1.00001
y_pred[6207],0.664039,0.0039065,0.357049,0.253604,0.0176379,0.828603,0.999978,8219.2,7944.49,1.00016
y_pred[6208],0.784587,0.00336558,0.299838,0.0671877,0.0964129,0.954681,1.0,8074.29,7886.07,0.999911
y_pred[6209],0.543187,0.0015297,0.138385,0.1445,0.308692,0.54722,0.767165,8213.24,7786.48,0.999941
y_pred[6210],0.047544,0.00140731,0.119803,0.000507776,1.37212e-14,0.00034249,0.310057,7869.96,7968.75,1.00005
y_pred[6211],0.0557513,0.00203821,0.181735,3.11518e-09,9.77536e-41,2.10116e-09,0.48722,7812.32,7522.08,0.999981
y_pred[6212],0.0359303,0.00169019,0.151174,2.28509e-15,3.33309e-68,1.54127e-15,0.222653,8139.63,7868.18,0.999959
y_pred[6213],0.0603714,0.00180321,0.161792,7.49167e-05,2.13634e-19,5.05306e-05,0.44137,7839.47,7726.35,0.999797
y_pred[6214],0.0678178,0.00208426,0.189225,6.11541e-06,4.82308e-25,4.12479e-06,0.556111,7693.64,8099.37,0.999889
y_pred[6215],0.126295,0.00284963,0.242816,0.00404714,1.37483e-12,0.00272976,0.760191,7808.02,7334.39,0.999897
y_pred[6216],0.0424434,0.000603586,0.0535987,0.0293886,0.000256917,0.0224732,0.15433,7956.77,7809.75,1.00004
y_pred[6217],0.543026,0.00322903,0.288736,0.369777,0.0694945,0.55974,0.963894,8161.89,7614.63,1.00018
y_pred[6218],0.589353,0.00435483,0.389971,0.422832,0.00141561,0.713446,0.99997,8331.9,8368.61,0.999945
y_pred[6219],0.458559,0.00435896,0.39933,0.571119,6.35932e-05,0.391551,0.999405,8306.34,7508.3,1.00022
y_pred[6220],0.591927,0.00372915,0.330313,0.425758,0.0346133,0.649325,0.996167,7927.67,7729.24,0.99974
y_pred[6221],0.628362,0.00411157,0.36373,0.355606,0.0130699,0.757867,0.99993,7879.51,7933.21,0.999865
y_pred[6222],0.760597,0.0035705,0.311946,0.0940606,0.0738226,0.93655,0.999999,7503.74,7890.36,0.999888
y_pred[6223],0.510435,0.00149157,0.136567,0.14394,0.282165,0.510006,0.737692,8385.31,8049.57,1.00022
y_pred[6224],0.44024,0.00322411,0.286877,0.362513,0.0299305,0.416657,0.926386,7872.66,7659.99,1.00042
y_pred[6225],0.474439,0.0043674,0.39462,0.607602,0.000159923,0.431941,0.999564,8121.77,7882.81,0.999798
y_pred[6226],0.354234,0.00424659,0.383113,0.237091,1.7807e-06,0.15994,0.996549,8173.15,7796.87,1.00004
y_pred[6227],0.487875,0.00382144,0.33711,0.482776,0.0114056,0.477974,0.985896,7911.31,7562.46,1.00013
y_pred[6228],0.523735,0.00431632,0.37511,0.575069,0.0029246,0.544573,0.998993,7591.48,7467.99,0.999766
