,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"beta_language_std_unc[1,6]",0.0141976,0.0267851,2.3726,2.1545,-3.79732,0.0658173,3.78342,7891.94,7807.95,0.999914
"beta_language_std_unc[1,7]",0.00595864,0.0260796,2.34376,2.14851,-3.71839,-0.00934448,3.76256,8089.27,7938.86,0.999763
"beta_language_std_unc[1,8]",-0.0207803,0.0271188,2.34598,2.22705,-3.73346,-0.0301473,3.60294,7449.95,7950.67,0.999845
"beta_language_std_unc[1,9]",0.00244213,0.0275321,2.42647,2.21713,-3.76969,-0.00425616,3.80252,7761.06,7885.48,1.00029
"beta_language_std_unc[1,10]",-0.00587076,0.0267526,2.35662,2.15643,-3.75962,-0.018681,3.77987,7774.17,7536.16,0.999814
"beta_language_std_unc[1,11]",0.00319172,0.026739,2.35614,2.16884,-3.67676,-0.021588,3.7496,7804.88,8015.67,1.00015
"beta_language_std_unc[1,12]",-0.0185054,0.0277878,2.40774,2.21281,-3.90872,-0.00206845,3.76386,7493.36,7886.84,0.999944
"beta_language_std_unc[2,1]",0.0139544,0.0267925,2.36699,2.18814,-3.8273,0.011775,3.7737,7749.46,7783.68,0.99971
"beta_language_std_unc[2,2]",-0.0245763,0.0263496,2.38462,2.2049,-3.84389,-0.0260289,3.73699,8204.07,7966.99,1.00022
"beta_language_std_unc[2,3]",0.0141805,0.0267409,2.37587,2.1885,-3.79983,0.0198059,3.81922,7885.83,7778.65,1.00023
"beta_language_std_unc[2,4]",-0.0151435,0.0270987,2.35029,2.18143,-3.76849,0.0135962,3.76379,7530.2,7367.31,0.999976
"beta_language_std_unc[2,5]",-0.0021294,0.0276913,2.40819,2.218,-3.77981,-0.0071318,3.77138,7597.67,7876.41,1.00005
"beta_language_std_unc[2,6]",0.028073,0.0273176,2.33893,2.20847,-3.75741,0.0465025,3.79024,7251.45,7733.89,1.00042
"beta_language_std_unc[2,7]",0.0184817,0.0268656,2.38915,2.18967,-3.782,-0.00155849,3.90154,7947.47,7769.23,0.999737
"beta_language_std_unc[2,8]",-0.0131084,0.026904,2.34353,2.19968,-3.78094,-0.0256469,3.63417,7635.46,7822.25,0.999805
"beta_language_std_unc[2,9]",0.0301777,0.0268565,2.37867,2.20873,-3.73679,0.0416077,3.84261,7875.8,6663.51,1.00002
"beta_language_std_unc[2,10]",-0.0478606,0.0261157,2.3406,2.17407,-3.78727,-0.0725515,3.67427,7995.44,7251.98,0.999841
"beta_language_std_unc[2,11]",-0.0100294,0.0268838,2.40916,2.19541,-3.79461,0.000958396,3.79211,8027.31,7585.27,1.00029
"beta_language_std_unc[2,12]",-0.021651,0.0274195,2.37825,2.20181,-3.90401,0.00036467,3.7666,7556.33,7730.57,0.99996
"beta_language_std_unc[3,1]",0.0287683,0.0267882,2.39824,2.172,-3.80312,0.0351505,3.81788,7969.79,7512.86,0.999877
"beta_language_std_unc[3,2]",-0.0204342,0.0266446,2.37914,2.18054,-3.7923,0.011728,3.79322,8042.34,7544.36,1.00011
"beta_language_std_unc[3,3]",-0.0140396,0.0270494,2.39288,2.23754,-3.81829,-0.0046323,3.80292,7883.32,7768.3,1.00058
"beta_language_std_unc[3,4]",0.0292213,0.0264791,2.36571,2.17798,-3.69777,0.0253721,3.80397,7952.23,7780.42,1.00038
"beta_language_std_unc[3,5]",0.0110182,0.0271098,2.36215,2.17469,-3.77835,0.00851256,3.80709,7648.31,7162.03,1.00017
"beta_language_std_unc[3,6]",0.0190154,0.027034,2.36333,2.18093,-3.75349,0.0432991,3.79484,7646.3,7753.39,1.00016
"beta_language_std_unc[3,7]",-0.00715129,0.0259053,2.39234,2.17735,-3.82972,-0.0127261,3.88239,8540.96,8145.09,0.999902
"beta_language_std_unc[3,8]",-0.0254956,0.0269851,2.36411,2.21345,-3.74648,0.00191767,3.62951,7687.14,7673.54,1.00061
"beta_language_std_unc[3,9]",0.0124522,0.0270641,2.40268,2.22139,-3.75361,0.0122241,3.92934,7913.95,7986.39,1.00006
"beta_language_std_unc[3,10]",-0.0161021,0.026603,2.31789,2.15172,-3.74586,-0.0343714,3.71972,7695.16,7097.75,1.00001
"beta_language_std_unc[3,11]",-0.00970005,0.0271331,2.38952,2.2273,-3.75568,-0.0434815,3.80815,7790.6,7972.78,1.00003
"beta_language_std_unc[3,12]",-0.0294826,0.0281978,2.40384,2.20069,-3.93061,0.0261261,3.76359,7398.38,7772.84,1.00009
"beta_language_std_unc[4,1]",0.0436615,0.027344,2.39432,2.19894,-3.66841,0.0103978,3.83736,7746.81,7809.02,0.999954
"beta_language_std_unc[4,2]",0.00843445,0.0266929,2.38877,2.19847,-3.77977,-0.000256994,3.83183,8143.29,7511.63,1.00029
"beta_language_std_unc[4,3]",-0.0103634,0.0268043,2.41304,2.2238,-3.87257,-0.00455685,3.80606,8096.98,7923.68,0.999923
"beta_language_std_unc[4,4]",0.0167775,0.0265823,2.37985,2.14742,-3.76322,0.0187321,3.79079,8000.84,7929.39,0.999893
"beta_language_std_unc[4,5]",-0.02506,0.0274283,2.43072,2.22305,-3.87254,-0.0210708,3.80641,7835.03,7809.32,1.00002
"beta_language_std_unc[4,6]",0.0127865,0.0270877,2.37601,2.15421,-3.8054,0.0571957,3.71514,7747.04,7789.15,1.00025
"beta_language_std_unc[4,7]",0.0148381,0.0264474,2.36691,2.1667,-3.79368,0.0163473,3.75467,8046.75,7849.73,0.999784
"beta_language_std_unc[4,8]",-0.0192593,0.0264259,2.34611,2.20584,-3.82425,0.00144628,3.65009,7856.93,7810.12,1.00033
"beta_language_std_unc[4,9]",-0.00149166,0.0261658,2.36358,2.19825,-3.70684,-0.00917917,3.76852,8152.5,7972.31,1.00028
"beta_language_std_unc[4,10]",-0.00715958,0.0265631,2.32277,2.15652,-3.76601,-0.0129362,3.71032,7606.27,7422.61,0.99985
"beta_language_std_unc[4,11]",0.000734503,0.0270197,2.40638,2.19278,-3.70737,-0.0288506,3.75799,7988.9,7847.57,1.00044
"beta_language_std_unc[4,12]",-0.0202507,0.027725,2.42978,2.2268,-3.86946,-0.0255006,3.8334,7789.79,8010.65,1.00032
"beta_language_std_unc[5,1]",0.0323739,0.0270756,2.38768,2.15784,-3.796,0.0426233,3.83711,7763.45,7893.97,0.999701
"beta_language_std_unc[5,2]",-0.00133853,0.02669,2.38165,2.21081,-3.84712,-0.0143667,3.79392,8035.48,8097.04,1.00019
"beta_language_std_unc[5,3]",-0.0162559,0.0264082,2.35639,2.20851,-3.84705,0.00360857,3.7128,7949.19,7995.66,1.00047
"beta_language_std_unc[5,4]",0.0305256,0.0268047,2.37336,2.15636,-3.7405,0.0427787,3.85191,7848.19,7834.58,1.00005
"beta_language_std_unc[5,5]",0.0172065,0.0266811,2.39836,2.17019,-3.77952,0.000163126,3.85426,8113.42,7709.65,1.00032
"beta_language_std_unc[5,6]",0.0231949,0.0272268,2.37194,2.16739,-3.74244,0.0358078,3.84024,7676.05,7193.64,1.00013
"beta_language_std_unc[5,7]",-0.0114197,0.0267308,2.37955,2.18309,-3.8073,-0.0198025,3.83163,7917.94,7973.42,0.999695
"beta_language_std_unc[5,8]",-0.0335875,0.0273195,2.34498,2.21011,-3.79901,0.00765641,3.65206,7364.24,7834.54,0.999964
